ID,SITENAME,MG,PH,NITRATE,BICARBONATE,Water Quality
1.0,Vengalapuram,268.0,7.3,276.0,878.0,2
2.0,Kavalur,94.9,7.2,2.0,421.0,2
3.0,Alangayam,226.1,7.5,16.0,549.0,3
4.0,Vaniyambadi1,211.6,7.3,140.0,726.0,2
5.0,Sangilikuppam,238.3,7.2,174.0,537.0,2
6.0,Thottalam,350.1,7.2,350.0,714.0,2
7.0,Anaikkattu,37.7,7.1,12.0,207.0,2
8.0,Arcot2,53.5,7.4,86.0,482.0,4
9.0,Vellore1,59.7,8.1,24.0,763.0,5
10.0,Vellore1,82.7,7.4,59.0,390.0,4
11.0,Ranipet1,306.4,7.2,57.0,415.0,2
12.0,Banavaram,73.0,7.1,16.0,213.0,1
13.0,Sholingar1,40.2,6.8,13.0,116.0,1
14.0,Perambattu,54.3,7.6,18.0,298.0,4
15.0,Perambattu,105.0,7.7,5.0,647.0,5
16.0,Alankuppam,241.7,7.3,24.0,739.0,2
17.0,Alankuppam,153.4,7.5,30.0,525.0,3
18.0,Vengalapuram,238.4,7.6,25.0,970.0,4
19.0,Vokkanampet,170.5,7.3,20.0,702.0,2
20.0,Kodiyur,75.5,7.6,5.0,409.0,4
